entry	name	body_size
00405408	GetStdHandle	6
00405410	WriteFile	6
00405428	FindClose	6
00405430	FindFirstFileW	6
00405440	EnterCriticalSection	6
00405448	LeaveCriticalSection	6
00405460	GetCurrentThreadId	6
00405468	SwitchToThread	6
00405478	ExitProcess	6
00405490	UnhandledExceptionFilter	6
00405498	GetLastError	6
004054a0	FreeLibrary	6
004054b0	LoadStringW	6
004054c0	GetModuleFileNameW	6
004054c8	GetModuleHandleW	6
004054d0	GetProcAddress	6
004054e0	LoadLibraryExW	6
004054f0	MultiByteToWideChar	6
004054f8	WideCharToMultiByte	6
00405500	GetLocaleInfoW	6
00405508	GetUserDefaultUILanguage	6
00405510	GetSystemDefaultUILanguage	6
00405520	IsValidLocale	6
00405528	CharNextW	6
00405548	DelayLoad_MessageBoxA	1
00405558	MessageBoxA	6
00405560	RegCloseKey	6
00405568	RegOpenKeyExW	6
00405570	RegQueryValueExW	6
00405588	GetTickCount	6
00405598	VirtualQuery	6
004055a0	SysAllocStringLen	6
004055a8	SysReAllocStringLen	6
004055b0	SysFreeString	6
004055b8	lstrlenW	6
004055d0	DelayLoad_GetLogicalProcessorInformation	1
004055e0	GetLogicalProcessorInformation	6
00405624	VirtualAlloc	6
0040562c	VirtualFree	6
00405634	Sleep	6
0040585c	FUN_0040585c	45
0040588c	FUN_0040588c	27
004058a8	FUN_004058a8	61
004058e8	FUN_004058e8	94
00405948	FUN_00405948	102
004059b4	FUN_004059b4	122
00405a30	FUN_00405a30	73
00405cd0	FUN_00405cd0	980
00406054	FUN_00406054	651
0040624c	FUN_0040624c	1107
00406564	FUN_00406564	50
004071d8	FUN_004071d8	27
004071f4	FUN_004071f4	23
0040720c	FUN_0040720c	77
0040725c	FUN_0040725c	32
0040729c	FUN_0040729c	49
004072d0	FUN_004072d0	12
004072dc	FUN_004072dc	12
004072e8	FUN_004072e8	73
00407334	FUN_00407334	22
004074b8	FUN_004074b8	220
00407bb8	FUN_00407bb8	36
00407d80	FUN_00407d80	12
00407e94	FUN_00407e94	151
00407f74	FUN_00407f74	258
00408138	thunk_FUN_00408140	5
00408140	FUN_00408140	169
004082e0	FUN_004082e0	10
004082ec	thunk_FUN_00407334	7
004082f4	thunk_FUN_00407334	7
004083f4	FUN_004083f4	60
00408508	FUN_00408508	19
004086b0	FUN_004086b0	32
004086d0	FUN_004086d0	15
004086e0	FUN_004086e0	12
004087d4	FUN_004087d4	44
00408810	FUN_00408810	98
00408874	FUN_00408874	68
004089cc	FUN_004089cc	33
004089f0	FUN_004089f0	48
00408a20	FUN_00408a20	25
00408aec	FUN_00408aec	18
00408cd4	FUN_00408cd4	41
00408d24	FUN_00408d24	6
00408d2c	FUN_00408d2c	53
00408d7c	FUN_00408d7c	15
00408d8c	FUN_00408d8c	119
00408e38	FUN_00408e38	14
00408e48	FUN_00408e48	194
00408f50	FUN_00408f50	24
00408f68	FUN_00408f68	92
00408fe0	FUN_00408fe0	41
00409030	FUN_00409030	39
004090dc	FUN_004090dc	405
00409274	FUN_00409274	71
004092bc	FUN_004092bc	33
004092e0	FUN_004092e0	96
00409340	FUN_00409340	13
00409360	FUN_00409360	82
0040959c	FUN_0040959c	63
00409710	FUN_00409710	33
00409734	FUN_00409734	21
0040974c	FUN_0040974c	19
00409760	FUN_00409760	17
00409774	FUN_00409774	30
00409794	FUN_00409794	39
004097f8	FUN_004097f8	266
00409924	FUN_00409924	358
00409b8c	FUN_00409b8c	108
00409c80	FUN_00409c80	21
00409df8	FUN_00409df8	38
00409e20	FUN_00409e20	83
0040a0a4	FUN_0040a0a4	91
0040a100	FUN_0040a100	42
0040a12c	FUN_0040a12c	133
0040a1c4	FUN_0040a1c4	300
0040a2f4	FUN_0040a2f4	11
0040a300	FUN_0040a300	27
0040a424	FUN_0040a424	64
0040a464	FUN_0040a464	74
0040a4b8	FUN_0040a4b8	21
0040a4d0	FUN_0040a4d0	35
0040a4f4	FUN_0040a4f4	35
0040a518	FUN_0040a518	21
0040a530	FUN_0040a530	56
0040a568	FUN_0040a568	56
0040a5a0	FUN_0040a5a0	33
0040a5c4	FUN_0040a5c4	15
0040a604	FUN_0040a604	43
0040a64c	FUN_0040a64c	25
0040a668	FUN_0040a668	48
0040a698	FUN_0040a698	35
0040a6bc	FUN_0040a6bc	56
0040a6f4	FUN_0040a6f4	148
0040a788	FUN_0040a788	15
0040a798	FUN_0040a798	148
0040a82c	FUN_0040a82c	15
0040a83c	FUN_0040a83c	130
0040a8c0	FUN_0040a8c0	71
0040a908	FUN_0040a908	43
0040a934	FUN_0040a934	47
0040a95c	FUN_0040a95c	73
0040aa00	FUN_0040aa00	19
0040aab4	FUN_0040aab4	130
0040ab38	FUN_0040ab38	111
0040ac10	FUN_0040ac10	51
0040ac44	FUN_0040ac44	63
0040ac98	FUN_0040ac98	23
0040adb0	FUN_0040adb0	68
0040ae30	FUN_0040ae30	13
0040af5c	FUN_0040af5c	118
0040afd4	FUN_0040afd4	21
0040afec	FUN_0040afec	13
0040b024	FUN_0040b024	44
0040b054	FUN_0040b054	56
0040b090	FUN_0040b090	30
0040b0b0	FUN_0040b0b0	15
0040b138	FUN_0040b138	129
0040b1bc	thunk_FUN_0040b138	5
0040b1c4	FUN_0040b1c4	71
0040b20c	FUN_0040b20c	13
0040b22c	FUN_0040b22c	15
0040b23c	FUN_0040b23c	44
0040b26c	FUN_0040b26c	56
0040b2a8	FUN_0040b2a8	24
0040b2c4	FUN_0040b2c4	30
0040b2e4	FUN_0040b2e4	16
0040b2f8	FUN_0040b2f8	14
0040b374	FUN_0040b374	10
0040b380	FUN_0040b380	126
0040b400	FUN_0040b400	85
0040b458	FUN_0040b458	133
0040b4e0	FUN_0040b4e0	174
0040b590	FUN_0040b590	53
0040b5c8	FUN_0040b5c8	71
0040b924	FUN_0040b924	19
0040be60	FUN_0040be60	142
0040bef0	FUN_0040bef0	24
0040bf08	FUN_0040bf08	383
0040c348	FUN_0040c348	362
0040c68c	FUN_0040c68c	33
0040c6b0	FUN_0040c6b0	459
0040c87c	FUN_0040c87c	552
0040cad8	FUN_0040cad8	289
0040cbfc	FUN_0040cbfc	222
0040cd28	FUN_0040cd28	21
0040cd40	thunk_FUN_0040c348	5
0040cd48	thunk_FUN_0040bf08	5
0040cd50	FUN_0040cd50	179
0040ce68	FUN_0040ce68	251
0040d010	FUN_0040d010	35
0040d0c8	FUN_0040d0c8	73
0040d210	FUN_0040d210	592
0040d488	FUN_0040d488	164
0040d52c	FUN_0040d52c	67
0040d570	FUN_0040d570	655
0040d838	FUN_0040d838	11
0040d844	FUN_0040d844	33
0040d868	FUN_0040d868	244
0040d95c	FUN_0040d95c	66
0040d9a0	FUN_0040d9a0	58
0040ddbc	FUN_0040ddbc	71
0040de04	FUN_0040de04	50
0040e160	FUN_0040e160	52
0040e194	FUN_0040e194	94
0040e200	FUN_0040e200	197
0040e2e4	FUN_0040e2e4	359
0040e47c	FUN_0040e47c	36
0040e4a0	FUN_0040e4a0	65
0040e4e4	FUN_0040e4e4	282
0040e600	FUN_0040e600	262
0040e724	FUN_0040e724	33
0040e748	FUN_0040e748	464
0040e948	FUN_0040e948	545
0040ec68	FUN_0040ec68	89
0040ecd0	FUN_0040ecd0	91
0040ed2c	FUN_0040ed2c	96
0040ed9c	FUN_0040ed9c	216
0040ee84	FUN_0040ee84	194
0040ef54	FUN_0040ef54	281
0040f07c	FUN_0040f07c	188
0040f230	FUN_0040f230	71
0040f2a8	FUN_0040f2a8	102
0040f318	FUN_0040f318	21
0040f330	FUN_0040f330	44
0040f35c	FUN_0040f35c	48
0040fa08	FUN_0040fa08	45
0040fa38	FUN_0040fa38	151
0040fad0	FUN_0040fad0	25
0040fb70	FUN_0040fb70	21
0040fb88	FUN_0040fb88	18
0040fc0c	FUN_0040fc0c	196
0040fcd8	FUN_0040fcd8	143
0040fda8	FUN_0040fda8	134
0040fe30	FUN_0040fe30	111
0040fed8	FUN_0040fed8	17
0040feec	FUN_0040feec	20
0040ff54	FUN_0040ff54	17
0040fff4	FUN_0040fff4	21
0041000c	FUN_0041000c	124
004100cc	FUN_004100cc	170
00410230	FUN_00410230	183
0041030c	FUN_0041030c	147
00410600	FUN_00410600	11
0041060c	FUN_0041060c	53
00410644	FUN_00410644	18
00410674	FUN_00410674	42
004106a0	FUN_004106a0	40
00410908	FUN_00410908	142
00410b48	FUN_00410b48	81
00410b9c	FUN_00410b9c	20
00410bc4	FUN_00410bc4	127
